> 狀態：已確認 2026-09-20 19:03
會員編號,公司名稱,會員級別,年費,入帳合計,狀態,差額／多繳額,依據,逾期天數,級別
M001,宇陽資訊有限公司,一般會員,6000,6000,已繳,0,"TX2005 2026/04/17 6,000：公司名一致（宇陽資訊）",,
M002,明峰工業有限公司,團體會員,36000,36000,已繳,0,"TX2049 2026/04/18 36,000：公司名一致（明峰工業）",,
M003,品逸生技有限公司,一般會員,6000,0,未繳,6000,無入帳,20,提醒
M004,東辰網路股份有限公司,一般會員,6000,4000,短繳,2000,"TX2070 2026/04/10 4,000：公司名一致（東辰網路）",82,警告
M005,誠展材料股份有限公司,贊助會員,20000,20000,已繳,0,"TX2010 2026/06/11 20,000：公司名一致（誠展材料）",,
M006,品逸材料有限公司,一般會員,6000,0,未繳,6000,無入帳,248,警告
M007,元鴻電子有限公司,贊助會員,20000,20000,已繳,0,"TX2004 2026/04/06 20,000：公司名一致（元鴻電子）",,
M008,明峰通訊股份有限公司,團體會員,36000,33000,短繳,3000,"TX2063 2026/06/18 33,000：公司名一致（明峰通訊）",10,提醒
M009,明峰自動化股份有限公司,一般會員,6000,0,未繳,6000,無入帳,82,警告
M010,中鼎科技有限公司,團體會員,36000,36000,已繳,0,"TX2036 2026/05/17 36,000：公司名一致（中鼎科技）",,
M011,高林電子有限公司,贊助會員,20000,18000,短繳,2000,"TX2064 2026/05/11 18,000：公司名一致（高林電子）",51,強調
M012,佳合電子股份有限公司,理監事,50000,100000,重複繳,50000,"TX2094 2026/03/15 50,000：公司名一致（佳合電子）；TX2095 2026/03/30 50,000：公司名一致（佳合電子）",,
M013,晉城工業股份有限公司,贊助會員,20000,20000,已繳,0,"TX2002 2026/04/08 20,000：公司名一致（晉城工業）",,
M014,晉城醫材股份有限公司,一般會員,6000,0,未繳,6000,無入帳,20,提醒
M015,晉城光電有限公司,贊助會員,20000,20000,已繳,0,"TX2015 2026/03/27 20,000：公司名一致（晉城光電）",,
M016,誠展自動化有限公司,一般會員,6000,0,未繳,6000,無入帳,82,警告
M017,中鼎機械有限公司,贊助會員,20000,20000,已繳,0,"TX2084 2026/05/26 20,000：匯款人＝聯絡人 楊怡哲＋金額＝年費",,
M018,群威工業有限公司,一般會員,6000,0,未繳,6000,無入帳,248,警告
M019,佳合半導體股份有限公司,一般會員,6000,5500,短繳,500,"TX2068 2026/06/03 5,500：公司名一致（佳合半導體）",10,提醒
M020,立勤系統有限公司,團體會員,36000,34000,短繳,2000,"TX2072 2026/04/23 34,000：公司名一致（立勤系統）",20,提醒
M021,群威資訊股份有限公司,一般會員,6000,6000,已繳,0,"TX2003 2026/04/08 6,000：公司名一致（群威資訊）",,
M022,元鴻半導體有限公司,贊助會員,20000,20000,已繳,0,"TX2030 2026/03/14 20,000：公司名一致（元鴻半導體）",,
M023,亞信醫材股份有限公司,一般會員,6000,0,未繳,6000,無入帳,82,警告
M024,冠捷系統有限公司,贊助會員,20000,0,未繳,20000,無入帳,51,強調
M025,世紀生技有限公司,一般會員,6000,6000,已繳,0,"TX2039 2026/04/24 6,000：公司名一致（世紀生技）",,
M026,瑞光生技有限公司,團體會員,36000,33000,短繳,3000,"TX2074 2026/04/30 33,000：公司名一致（瑞光生技）",82,警告
M027,世紀系統有限公司,一般會員,6000,12000,重複繳,6000,"TX2086 2026/03/19 6,000：公司名一致（世紀系統）；TX2087 2026/04/02 6,000：公司名一致（世紀系統）",,
M028,立勤工業股份有限公司,一般會員,6000,0,未繳,6000,無入帳,217,警告
M029,明峰網路有限公司,一般會員,6000,0,未繳,6000,無入帳,248,警告
M030,佳合科技有限公司,理監事,50000,50000,已繳,0,"TX2056 2026/02/28 50,000：公司名一致（佳合科技）",,
M031,冠捷網路股份有限公司,團體會員,36000,0,未繳,36000,無入帳,82,警告
M032,鼎宏通訊有限公司,一般會員,6000,6000,已繳,0,"TX2012 2026/04/10 6,000：公司名一致（鼎宏通訊）",,
M033,佳合系統有限公司,一般會員,6000,6000,已繳,0,"TX2055 2026/02/26 6,000：公司名一致（佳合系統）",,
M034,立勤半導體股份有限公司,一般會員,6000,0,未繳,6000,無入帳,217,警告
M035,泰宇科技有限公司,一般會員,6000,0,未繳,6000,無入帳,20,提醒
M036,宇陽科技有限公司,一般會員,6000,0,未繳,6000,無入帳,51,強調
M037,佳合醫材有限公司,團體會員,36000,36000,已繳,0,"TX2033 2026/06/29 36,000：公司名一致（佳合醫材）",,
M038,世紀精密有限公司,一般會員,6000,6000,已繳,0,"TX2027 2026/04/13 6,000：公司名一致（世紀精密）",,
M039,冠捷半導體有限公司,一般會員,6000,6000,已繳,0,"TX2045 2026/06/11 6,000：公司名一致（冠捷半導體）",,
M040,中鼎精密有限公司,一般會員,6000,6000,已繳,0,"TX2006 2026/04/06 6,000：公司名一致（中鼎精密）",,
M041,泰宇系統有限公司,一般會員,6000,3000,短繳,3000,"TX2065 2026/06/27 3,000：公司名一致（泰宇系統）",10,提醒
M042,遠旭光電有限公司,贊助會員,20000,0,未繳,20000,無入帳,51,強調
M043,永茂機械有限公司,一般會員,6000,6000,已繳,0,"TX2023 2026/03/30 6,000：公司名一致（永茂機械）",,
M044,東辰精密股份有限公司,一般會員,6000,0,未繳,6000,無入帳,10,提醒
M045,中鼎生技有限公司,一般會員,6000,0,未繳,6000,無入帳,10,提醒
M046,鼎宏光電股份有限公司,一般會員,6000,6000,已繳,0,"TX2057 2026/04/25 6,000：公司名一致（鼎宏光電）",,
M047,晉城醫材有限公司,一般會員,6000,0,未繳,6000,無入帳,36,強調
M048,品逸光電股份有限公司,一般會員,6000,6000,已繳,0,"TX2050 2026/05/12 6,000：公司名一致（品逸光電）",,
M049,富崴機械有限公司,一般會員,6000,6000,已繳,0,"TX2081 2026/04/06 6,000：匯款人＝聯絡人 王傑子＋金額＝年費",,
M050,瑞光通訊有限公司,一般會員,6000,6000,已繳,0,"TX2047 2026/03/13 6,000：公司名一致（瑞光通訊）",,
M051,高林網路有限公司,一般會員,6000,6000,已繳,0,"TX2038 2026/04/08 6,000：公司名一致（高林網路）",,
M052,宜達網路有限公司,贊助會員,20000,20000,已繳,0,"TX2058 2026/06/03 20,000：公司名一致（宜達網路）",,
