編號,日期,平台,來源頁面,帳號,星等,評論內容,處理狀態,備註
R001,2026-09-03,Google,台北信義門市,林**,1,除濕機水箱滿了不會自動停，水流出來把地板弄濕。,已結案,客服 9/4 電聯，安排換新機
R002,2026-09-05,FB,沐光家電粉專,Chen Y.,,APP 一直連不上 wifi，設定十次了。,已結案,9/5 回覆：改連 2.4G
R003,2026-09-08,蝦皮,沐光官方商城,w***7,5,除濕很快，安靜，很滿意。,已結案,已回覆感謝
R004,2026-09-10,Dcard,家電板,匿名,,沐光 D12 跟 X 牌 12L 選哪台？,已結案,9/10 官方帳號回覆比較重點
R005,2026-09-15,Google,台北信義門市,王**,1,水箱滿了不會自動停，上個月就反映過一次，客服說會處理，結果什麼都沒有。第二次了。,草稿待發,負·高·產品故障（二次抱怨）→ 陳姐當日
R006,2026-09-15,PTT,e-shopping,cooldog77,,沐光除濕機真的很棒，買三個月壞兩次，棒到我想哭 👍,已判讀,負·中·產品故障（反諷）PTT 僅記錄
R007,2026-09-15,蝦皮,沐光官方商城,a***3,5,吸塵器很好用，吸力夠。但出貨等了八天，客服回訊息要等一天。,草稿待發,正·出貨物流
R008,2026-09-16,FB,沐光家電粉專,Amy Liu,,昨晚 D12 運轉中有燒焦味，還冒白煙，我馬上拔插頭。這樣還能用嗎？很怕。,草稿待發,負·高·安全 → 吳經理＋陳姐＋黃經理當日；串 R022／R035 一件
R009,2026-09-16,Dcard,家電板,匿名,,請問 D12 可以放浴室用嗎？洗完澡開一下，會不會有觸電風險？,草稿待發,中·使用教學
R010,2026-09-16,Google,台中公益門市,張**,5,店員小林很專業，問什麼都答得出來，還幫我算電費。,草稿待發,正·門市
R011,2026-09-16,Google,台北信義門市,咖啡控,5,沐光咖啡的拿鐵超好喝，燕麥奶也有。,不處理,非本品牌
R012,2026-09-17,蝦皮,沐光官方商城,k***9,1,收到就有刮傷，申請退貨三天沒人理。再不處理我要檢舉了。,草稿待發,負·高·出貨物流（退貨＋揚言檢舉）→ 陳姐＋黃經理當日
R013,2026-09-17,Dcard,家電板,小房間除濕日記（追蹤 4.2 萬）,,沐光 A3 濾網三個月就要換，一片 890，一年濾網比機器還貴。不推。,草稿待發,負·高·濾網耗材（影響力帳號）→ 黃經理當日
R014,2026-09-17,FB,沐光家電粉專,Kevin Huang,,本來擔心會很吵很慢，結果超安靜，除濕也快。推薦給租屋族。,草稿待發,正·產品好評
R015,2026-09-17,Google,台北信義門市,陳**,5,上次那台換新機已經收到了，謝謝客服小姐，處理很快。,草稿待發,正·客服；疑似 R001 回頭（帳號不同，待確認）
