> 狀態：已確認 2026-09-21 09:32
順序,客戶,聯絡人,收訊時間,類型,判級,依據,首次回覆時效,回覆期限,權責,方案要不要主管核可,要不要通知品保
1,冠捷百貨,陳建宏,13:06,瑕疵（電池發燙）,L4,安全疑慮一律 L4 不看語氣（§二判定原則）；類型表「電池發燙」起手 L4,立即（15 分鐘內先給人在處理訊號）,13:21,業務主管親自接手,是（全批處理／召回 51 支以上需總經理核可）,是（LOT-2608-07 暫停出貨）
2,宏碩精密,郭俊傑,15:31,交期延誤（第二次）＋威脅換供應商,L4,「我老闆問我要不要換廠商」＝威脅換供應商（L4 訊號）；本月第二次遲交本身已是 L3，取高,立即（15 分鐘內先給人在處理訊號）,15:46,業務主管親自接手,是（加急壓廠需主管核可；補償需核可）,否
3,永昇禮贈品,王志豪,10:05,交期延誤（第二次）,L3,類型表「交期延誤 第二次起 L3」（客戶明講「上次已經延過一次」）；活動下週三損失未發生但類型起手已 L3,30 分鐘內,10:35,業務回覆、15 分鐘內同步主管,是（若需加急壓廠）,否
4,樂購生活館,張怡君,11:41,數量短少,L3,類型表「數量短少」起手 L3；標準做法當日補寄、不要求客戶舉證,30 分鐘內,12:11,業務回覆、15 分鐘內同步主管,否（補寄 12 支＋一次免運在業務權限內；加急出貨時間需倉庫確認）,否
5,瑞光機械,洪佳穎,16:02,報價／帳務不符,L3,類型表「報價／帳務不符」起手 L3；客戶稱差 8 萬,30 分鐘內,16:32,業務回覆、15 分鐘內同步主管,是（發票更正金額 8 萬，且核對前不得承諾）,否
6,群威貿易,許柏翰,16:31,瑕疵（開關失靈）＋30 天內第三次,L3,類型表「開關失靈」起手 L2；客戶明講「這個月第三次」→ 30 天內第 3 次自動升一級 → L3,30 分鐘內,17:01,業務回覆、15 分鐘內同步主管,是（3 支換貨在權限內；連續三次是否補償需主管決定）,否
7,大興通路,林佩芸,09:17,瑕疵（異音）,L2 加急,類型表「異音」起手 L2；「明天就要出給客人」是時間壓力不是損失，判 L2 但加急（§二判定原則）,2 小時內,11:17,業務自行處理、當日回報主管一句,否（6 支同色同款 1:1 在 10 支內）,否
8,明峰通訊,蔡雅婷,15:11,色差,L2,類型表「色差」起手 L2；未拆封可退,2 小時內,17:11,業務自行處理、當日回報主管一句,是（未拆封可退是標準做法，但退款不可由業務自行決定）,否
9,佳合電子,葉承翰,17:06,包裝破損,L2,類型表「包裝破損」起手 L2；商品本身無損,2 小時內,19:06,業務自行處理、當日回報主管一句,否（換外箱補寄＋一次免運在權限內）,否
10,品逸商行,呂美玲,14:20,保固政策詢問,L1,類型表「保固政策詢問」L1；無情緒字眼,4 小時內,18:20,業務自行處理,否,否
11,東辰網路,周宗翰,14:49,贈品漏寄,L1,類型表「贈品漏寄」L1；客戶說不急、可併下次,4 小時內,18:49,業務自行處理,否,否
12,誠展工業,江欣怡,17:40,交期詢問,L1,只問出貨日、無情緒字眼（L1 定義）,4 小時內,21:40,業務自行處理,否（僅能承諾倉庫已確認日期）,否
