"timestamp","material_code","issue","delay_days","days_remaining","affected_orders","backup_vendor","risk_level","suggested_action","approval_required","status"
"2026-05-19","LM303","供應商交期異常","4","3","PO-003","FastChip Ltd.","medium","建議確認替代供應商 FastChip Ltd.，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-05-18","M003","供應商交期異常","7","5","PO-005","SafeParts Inc.","high","建議確認替代供應商 SafeParts Inc.，並同步通知相關單位。","yes: procurement_director","closed"
"2026-05-17","M008","供應商交期異常","10","7","PO-007","CoreSupply","low","建議確認替代供應商 CoreSupply，並同步通知相關單位。","no","open"
"2026-05-16","M013","供應商交期異常","13","9","PO-009","PowerLink","medium","建議確認替代供應商 PowerLink，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-05-15","M018","供應商交期異常","16","11","PO-011","MegaParts","high","建議確認替代供應商 MegaParts，並同步通知相關單位。","yes: procurement_director","closed"
"2026-05-14","M023","供應商交期異常","1","1","PO-013","BoardKing","low","建議確認替代供應商 BoardKing，並同步通知相關單位。","no","open"
"2026-05-13","M028","供應商交期異常","4","3","PO-015","CoolWind","medium","建議確認替代供應商 CoolWind，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-05-12","M033","供應商交期異常","7","5","PO-017","EastBridge Components","high","建議確認替代供應商 EastBridge Components，並同步通知相關單位。","yes: procurement_director","closed"
"2026-05-11","M038","供應商交期異常","10","7","PO-019","Union Semi","low","建議確認替代供應商 Union Semi，並同步通知相關單位。","no","open"
"2026-05-10","M043","供應商交期異常","13","9","PO-021","BrightSource","medium","建議確認替代供應商 BrightSource，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-05-09","M048","供應商交期異常","16","11","PO-023","Speedy Materials","high","建議確認替代供應商 Speedy Materials，並同步通知相關單位。","yes: procurement_director","closed"
"2026-05-08","AB123","供應商交期異常","1","1","PO-025","Global Parts Hub","low","建議確認替代供應商 Global Parts Hub，並同步通知相關單位。","no","open"
"2026-05-07","LM303","供應商交期異常","4","3","PO-027","ShinTech Supply","medium","建議確認替代供應商 ShinTech Supply，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-05-06","M003","供應商交期異常","7","5","PO-029","Prime Circuit","high","建議確認替代供應商 Prime Circuit，並同步通知相關單位。","yes: procurement_director","closed"
"2026-05-05","M008","供應商交期異常","10","7","PO-031","FutureLink","low","建議確認替代供應商 FutureLink，並同步通知相關單位。","no","open"
"2026-05-04","M013","供應商交期異常","13","9","PO-033","Ace Components","medium","建議確認替代供應商 Ace Components，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-05-03","M018","供應商交期異常","16","11","PO-035","Reliable Parts","high","建議確認替代供應商 Reliable Parts，並同步通知相關單位。","yes: procurement_director","closed"
"2026-05-02","M023","供應商交期異常","1","1","PO-037","Omega Supply","low","建議確認替代供應商 Omega Supply，並同步通知相關單位。","no","open"
"2026-05-01","M028","供應商交期異常","4","3","PO-039","SmartCore","medium","建議確認替代供應商 SmartCore，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-30","M033","供應商交期異常","7","5","PO-041","XYZ Electronics","high","建議確認替代供應商 XYZ Electronics，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-29","M038","供應商交期異常","10","7","PO-043","FastChip Ltd.","low","建議確認替代供應商 FastChip Ltd.，並同步通知相關單位。","no","open"
"2026-04-28","M043","供應商交期異常","13","9","PO-045","SafeParts Inc.","medium","建議確認替代供應商 SafeParts Inc.，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-27","M048","供應商交期異常","16","11","PO-047","CoreSupply","high","建議確認替代供應商 CoreSupply，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-26","AB123","供應商交期異常","1","1","PO-049","PowerLink","low","建議確認替代供應商 PowerLink，並同步通知相關單位。","no","open"
"2026-04-25","LM303","供應商交期異常","4","3","PO-051","MegaParts","medium","建議確認替代供應商 MegaParts，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-24","M003","供應商交期異常","7","5","PO-053","BoardKing","high","建議確認替代供應商 BoardKing，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-23","M008","供應商交期異常","10","7","PO-055","CoolWind","low","建議確認替代供應商 CoolWind，並同步通知相關單位。","no","open"
"2026-04-22","M013","供應商交期異常","13","9","PO-057","EastBridge Components","medium","建議確認替代供應商 EastBridge Components，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-21","M018","供應商交期異常","16","11","PO-059","Union Semi","high","建議確認替代供應商 Union Semi，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-20","M023","供應商交期異常","1","1","PO-061","BrightSource","low","建議確認替代供應商 BrightSource，並同步通知相關單位。","no","open"
"2026-04-19","M028","供應商交期異常","4","3","PO-063","Speedy Materials","medium","建議確認替代供應商 Speedy Materials，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-18","M033","供應商交期異常","7","5","PO-065","Global Parts Hub","high","建議確認替代供應商 Global Parts Hub，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-17","M038","供應商交期異常","10","7","PO-067","ShinTech Supply","low","建議確認替代供應商 ShinTech Supply，並同步通知相關單位。","no","open"
