> 狀態：已確認 2026-09-20 17:46
建議順序,分級,代號,方案,到期日,App 狀態,商城狀態,價值分群,高風險,近90天開信
1,1 本週先打（高風險∩高價值）,U0009,紙本兩年,2026-09-24,不在 App,"沉睡（最後出貨 2025-12-24，累計 22,160）",高價值,是,3
2,1 本週先打（高風險∩高價值）,U0039,紙本+數位,2026-10-06,不在 App,"沉睡（最後出貨 2025-06-03，累計 36,000）",高價值,是,5
3,1 本週先打（高風險∩高價值）,U0023,紙本一年,2026-11-05,不在 App,"沉睡（最後出貨 2026-01-12，累計 12,640）",高價值,是,2
4,1 本週先打（高風險∩高價值）,U0040,紙本+數位,2026-11-06,沉睡（30天 0 次）,"沉睡（最後出貨 2025-05-31，累計 34,260）",高價值,是,0
5,2 其次（高風險∩穩定）,U0011,數位訂閱年,2026-09-24,不在 App,不在商城,穩定,是,9
6,2 其次（高風險∩穩定）,U0020,紙本兩年,2026-09-27,不在 App,不在商城,穩定,是,7
7,2 其次（高風險∩穩定）,U0031,數位訂閱年,2026-09-30,沉睡（30天 0 次）,"沉睡（最後出貨 2026-02-10，累計 19,500）",穩定,是,8
8,2 其次（高風險∩穩定）,U0014,紙本+數位,2026-10-01,不在 App,不在商城,穩定,是,7
9,2 其次（高風險∩穩定）,U0038,紙本兩年,2026-10-07,不在 App,不在商城,穩定,是,11
10,2 其次（高風險∩穩定）,U0018,紙本兩年,2026-10-08,不在 App,不在商城,穩定,是,3
11,2 其次（高風險∩穩定）,U0012,數位訂閱年,2026-10-09,沉睡（30天 0 次）,不在商城,穩定,是,7
12,2 其次（高風險∩穩定）,U0003,紙本一年,2026-10-11,不在 App,不在商城,穩定,是,4
13,2 其次（高風險∩穩定）,U0029,紙本兩年,2026-10-11,不在 App,不在商城,穩定,是,2
14,2 其次（高風險∩穩定）,U0043,數位訂閱年,2026-10-13,不在 App,"沉睡（最後出貨 2025-10-01，累計 3,840）",穩定,是,5
15,2 其次（高風險∩穩定）,U0042,數位訂閱年,2026-10-14,不在 App,不在商城,穩定,是,5
16,2 其次（高風險∩穩定）,U0044,紙本一年,2026-10-14,不在 App,不在商城,穩定,是,5
17,2 其次（高風險∩穩定）,U0034,數位訂閱月,2026-10-26,沉睡（30天 0 次）,不在商城,穩定,是,2
18,2 其次（高風險∩穩定）,U0041,紙本+數位,2026-10-26,不在 App,不在商城,穩定,是,10
19,2 其次（高風險∩穩定）,U0033,紙本一年,2026-11-17,不在 App,不在商城,穩定,是,8
20,3 再來（高風險∩沉睡）,U0013,數位訂閱年,2026-09-24,不在 App,沉睡（最後出貨 2025-01-09，累計 960）,沉睡,是,1
21,3 再來（高風險∩沉睡）,U0017,數位訂閱月,2026-09-26,不在 App,不在商城,沉睡,是,1
22,3 再來（高風險∩沉睡）,U0002,紙本+數位,2026-10-17,不在 App,不在商城,沉睡,是,1
23,3 再來（高風險∩沉睡）,U0025,紙本+數位,2026-10-24,不在 App,不在商城,沉睡,是,0
24,3 再來（高風險∩沉睡）,U0026,數位訂閱月,2026-11-18,不在 App,不在商城,沉睡,是,0
25,4 到期預警但仍有活動，EDM 即可,U0022,紙本+數位,2026-09-24,不在 App,"活躍（最後出貨 2026-07-28，累計 2,780）",穩定,否,12
26,4 到期預警但仍有活動，EDM 即可,U0019,數位訂閱月,2026-09-27,活躍（30天 4 次）,"沉睡（最後出貨 2025-03-17，累計 28,800）",穩定,否,5
27,4 到期預警但仍有活動，EDM 即可,U0007,數位訂閱月,2026-09-29,活躍（30天 37 次）,不在商城,穩定,否,10
28,4 到期預警但仍有活動，EDM 即可,U0008,數位訂閱月,2026-09-30,不在 App,"活躍（最後出貨 2026-04-24，累計 29,120）",穩定,否,9
29,4 到期預警但仍有活動，EDM 即可,U0006,電子雜誌,2026-10-01,沉睡（30天 0 次）,"活躍（最後出貨 2026-08-26，累計 11,360）",穩定,否,5
30,4 到期預警但仍有活動，EDM 即可,U0030,數位訂閱年,2026-10-02,不在 App,"活躍（最後出貨 2026-08-08，累計 91,200）",穩定,否,11
31,4 到期預警但仍有活動，EDM 即可,U0035,數位訂閱年,2026-10-11,活躍（30天 43 次）,從未購買（只有退貨）,穩定,否,1
32,4 到期預警但仍有活動，EDM 即可,U0016,紙本一年,2026-10-16,活躍（30天 52 次）,不在商城,高價值,否,8
33,4 到期預警但仍有活動，EDM 即可,U0021,紙本+數位,2026-10-16,活躍（30天 33 次）,不在商城,高價值,否,1
34,4 到期預警但仍有活動，EDM 即可,U0037,數位訂閱月,2026-10-16,活躍（30天 20 次）,不在商城,穩定,否,11
35,4 到期預警但仍有活動，EDM 即可,U0027,數位訂閱年,2026-10-24,不在 App,"活躍（最後出貨 2026-07-21，累計 5,280）",穩定,否,6
36,4 到期預警但仍有活動，EDM 即可,U0028,紙本+數位,2026-10-25,活躍（30天 19 次）,不在商城,穩定,否,9
37,4 到期預警但仍有活動，EDM 即可,U0010,紙本兩年,2026-10-28,不在 App,"活躍（最後出貨 2026-03-28，累計 6,520）",高價值,否,9
38,4 到期預警但仍有活動，EDM 即可,U0001,電子雜誌,2026-10-29,活躍（30天 5 次）,沉睡（最後出貨 2025-09-02，累計 640）,穩定,否,7
39,4 到期預警但仍有活動，EDM 即可,U0045,紙本+數位,2026-10-31,不在 App,"活躍（最後出貨 2026-09-12，累計 35,200）",高價值,否,1
40,4 到期預警但仍有活動，EDM 即可,U0024,紙本兩年,2026-11-02,活躍（30天 27 次）,不在商城,高價值,否,4
41,4 到期預警但仍有活動，EDM 即可,U0032,紙本兩年,2026-11-05,活躍（30天 15 次）,不在商城,穩定,否,12
42,4 到期預警但仍有活動，EDM 即可,U0004,紙本兩年,2026-11-09,沉睡（30天 0 次）,"活躍（最後出貨 2026-08-22，累計 19,200）",高價值,否,10
43,4 到期預警但仍有活動，EDM 即可,U0005,紙本一年,2026-11-10,不在 App,"活躍（最後出貨 2026-09-16，累計 35,380）",高價值,否,10
44,4 到期預警但仍有活動，EDM 即可,U0036,數位訂閱月,2026-11-11,活躍（30天 5 次）,"沉睡（最後出貨 2025-05-17，累計 19,200）",穩定,否,3
