編號,會議日期,待辦事項,負責人,部門,截止日期,狀態,備註,提醒已發
T01,2026-09-07,Q4 促銷方案初稿,周主任,行銷,2026-09-14,已完成,9/14 週會已報告,
T02,2026-09-07,新款 KV-N200 開模報價（改兩家比價、給建議）,張經理,採購,2026-09-23,進行中,只收到兩家；9/21 週會：宏碩一直沒回，王總說不等了，兩家先比，週三前給建議,
T03,2026-09-07,倉庫盤點差異說明,劉課長,生產,2026-09-12,已完成,差異 0.8%,
T04,2026-09-07,員工旅遊問卷發放,黃經理,人資,2026-09-15,已完成,回收率 71%,
T05,2026-09-07,ERP 報表模組升級測試,吳工程師,資訊,2026-09-28,進行中,測試環境 9/17 才到；9/21 週會：已測一半，王總再給一週（推測 9/28），下次有狀況要提早講,
T06,2026-09-14,大興通路 Q4 訂單確認,陳經理,業務,2026-09-23,進行中,對方採購請假中；9/21 週會：採購 9/21 銷假，9/22 確認，數量約去年＋一成,
T07,2026-09-14,八月應收帳齡表,林經理,財務,2026-09-21,逾期,9/21 週會：林經理說當天下午交；表上未見完成，請秘書確認，已收到就改已完成,
T08,2026-09-14,官網產品頁改版需求書,周主任,行銷,2026-09-25,進行中,9/21 週會：周主任說週四（9/24）給,
T09,2026-09-14,品保人員招募面試安排,黃經理,人資,2026-09-30,進行中,9/21 週會：履歷收 6 份，下週安排面試，期限不變,
T10,2026-09-14,10 月生產排程草案,劉課長,生產,2026-09-24,進行中,等 T06 訂單數；9/21 週會：王總說先用去年＋一成做，陳經理確認完再調,
T11,2026-09-14,公司車保險續約比價,林經理,財務,2026-09-26,已完成,9/21 週會：三家報價選富邦，9/23 簽約，王總說算完成,
T12,2026-09-14,LINE 官方帳號回覆流程整理,周主任,行銷,2026-10-02,進行中,9/21 週會：尚未開始，王總說 10/2 不變,
T13,2026-09-21,Q4 促銷正式企劃書給業務（B 案：滿三千送 KV-N100 迷你扇）,周主任,行銷,2026-09-28,進行中,王總拍板 B 案；陳經理希望下週會前拿到，帶去大興,
T14,2026-09-21,客訴月報（品保＋業務，每月 5 號前給王總）,劉課長,生產（品保）,2026-10-05,進行中,第一份 10/5；業務提供客訴紀錄（見 T15）；之後每月固定,
T15,2026-09-21,提供客訴紀錄給品保（客訴月報用）,陳經理,業務,2026-09-28,進行中,推測：記錄沒講日期，依規則設下週會前；是否每月固定給待釐清,
T16,2026-09-21,尾牙場地確認（尾牙 12/18 週五）,黃經理,人資,2026-10-15,進行中,王總同意 12/18；黃經理說十月中前定場地,
T17,2026-09-21,Google Workspace 加購 5 個帳號預算評估,林經理,財務,2026-09-28,進行中,授權 10/15 到期（小吳提）；王總說先問財務錢夠不夠，林經理下週回,
T18,2026-09-21,KV-N200 馬達供應商議價（對方要漲 8%、上限 3%）,張經理,採購,2026-09-30,進行中,王總不接受 8%，最多 3%；張經理月底前去一趟,
T19,2026-09-21,中秋禮盒改訂單制：統計各通路需求量,待釐清,行銷／業務,,待釐清,王總說今年減量改訂單制，行銷跟業務先統計；沒講誰負責、沒講什麼時候,
T20,2026-09-21,員工旅遊行程與預算提案（六成選宜蘭）,黃經理,人資,2026-09-28,進行中,問卷結果六成選宜蘭；黃經理下週提,
