> 狀態：已確認 2026-09-22 12:21
編號,平台,帳號,情緒,嚴重度,主題,特殊,通知,要回？,語氣,一句判讀理由
R005,Google 台北信義,王**,負,高,產品故障,—,陳姐（當日）,要回,道歉,D12 水箱滿不停＋上月反映過無下文＝二次抱怨；v1.1 韌體已知問題
R006,PTT e-shopping,cooldog77,負,中,產品故障,—,—,僅記錄,—,反諷（很棒＋壞兩次＋👍）＝負；三個月壞兩次是故障不是安全，PTT 原則不回
R007,蝦皮,a***3,正,—,出貨物流,—,—,要回,道歉,主體是好評，附出貨 8 天與客服回訊慢；出貨延遲是 9 月上旬搬倉已知狀況
R008,FB 粉專,Amy Liu,負,高,安全,同帳號串 R022／R035,吳經理＋陳姐＋黃經理（當日）,要回,道歉,燒焦味＋冒白煙＝安全案；與 R022、R035 合併為一件，以最高嚴重度處理
R009,Dcard 家電板,匿名,中,—,使用教學,—,—,要回,引導,問浴室能不能用；答案是不行（非防水、觸電風險）
R010,Google 台中公益,張**,正,—,門市,—,—,要回,引導,店員小林被點名，值得回並轉給門市
R011,Google 台北信義,咖啡控,—,—,—,非本品牌,—,不回,—,「沐光咖啡拿鐵」是同名店家，不計入統計
R012,蝦皮,k***9,負,高,出貨物流,—,陳姐＋黃經理（當日）,要回,道歉,刮傷＋退貨三天沒人理＋揚言檢舉；退貨與檢舉都是高
R013,Dcard 家電板,小房間除濕日記（追蹤 4.2 萬）,負,高,濾網耗材,影響力帳號,黃經理（當日）,要回,說明,追蹤 ≥1 萬的公開「不推」；內容有誤（建議 6 個月非 3 個月），說明不辯解
R014,FB 粉專,Kevin Huang,正,—,其他（產品好評）,—,—,要回,引導,安靜、除濕快、推薦租屋族，一句感謝即可
R015,Google 台北信義,陳**,正,—,客服,疑似舊案回頭（R001 換新機，但 R001 是林**，待確認）,陳姐（知悉）,要回,引導,換新機收到後回來謝客服；若確認是 R001 要連回舊案號
R016,PTT Lifeismoney,buybuy_tw,負,中,價格,價格政策問題,黃經理（本週）,僅記錄,—,買後一週打八折問價差補；目前沒有價差補償政策，PTT 不公開回
R017,Google 台中公益,u**,負,需釐清,其他,疑似刷評（9/18 同日三則、一兩個字、帳號無記錄）,黃經理（本週）,不回,—,「爛」一個字，與 R018、R019 同日同門市，先不計入統計
R018,Google 台中公益,q**,負,需釐清,其他,疑似刷評（同 R017）,黃經理（本週）,不回,—,「爛透了」，同上
R019,Google 台中公益,z**,負,需釐清,其他,疑似刷評（同 R017）,黃經理（本週）,不回,—,「不推」，同上
R020,FB 粉專,Peggy Wu,負,高,客服,—,陳姐（當日）,要回,道歉,電話等 20 分鐘＋態度差＝客服態度案
R021,Dcard 租屋板,匿名,正,—,其他（產品好評）,好評 UGC（附一週數據圖）,—,要回,引導,長文實測附數據，可申請轉發，須先私訊徵求同意
R022,FB 粉專,Amy Liu,負,高,安全,同帳號串 R008／R035,黃經理＋陳姐（當日）,要回,道歉,已向消保官申訴＋聯絡記者；併入 R008 一件處理
R023,蝦皮,m***2,負,中,產品故障,—,—,要回,道歉,五星是給物流，內文機器第二天不轉＝負；故障屬中
R024,Google 台北信義,Mark T.,正,—,出貨物流,英文評論,—,要回,說明,主體好評，附出貨 9 天；英文回
R025,Dcard 家電板,匿名,中,—,使用教學,—,—,要回,說明,開窗放窗邊數值不變，是使用方式不是故障
R026,FB 粉專,Jason Lin,負,低,APP,—,—,要回,說明,APP 連不上 wifi，與上週 R002 同型問題（2.4G）
R027,PTT e-shopping,cooldog77,—,—,—,重複（R006 同帳號同內容）,—,不回,—,重貼，不計入統計
R028,FB 粉專,Grace Ho,負,需釐清,其他,只有表情符號,—,要回（私訊詢問）,引導,😡😡😡 情緒可判、嚴重度不能判，先私訊問發生什麼事
R029,Google 台北信義,李**,中,—,其他（停產零件）,門市資訊有誤,—,要回,說明,D8 停產但零件供應到 2027-12、遙控器可訂；門市說「停產了」沒講清楚
R030,FB 粉專,Tina Chang,中,—,其他（銷售線索）,銷售線索（20 台 A3）,周經理（兩個工作天）,要回,引導,團購 10 台以上轉業務，公開回一句請留聯絡方式
R031,Dcard 家電板,匿名,正,—,其他（產品好評）,好評 UGC（開箱＋續航實測）,—,要回,引導,V2 開箱附實測，可申請轉發，須先私訊徵求同意
R032,蝦皮,h***5,負,中,其他（外觀不符）,—,—,要回,道歉,顏色與照片不一致，屬中；7 天鑑賞期可退換
R033,Google 台北信義,黃**,正,—,客服,—,—,要回,引導,CP 值高＋客服有耐心，一句感謝
R034,PTT e-shopping,rainyday88,中,—,產品故障,—,—,僅記錄,—,問韌體更新是否有效、自己還會滿了不停；是問題不是抱怨，PTT 不回，但顯示 D12 v1.1 問題仍在擴散
R035,FB 粉專,Amy Liu,負,高,安全,同帳號串 R008／R022,陳姐（當日）,要回,道歉,9/16 安全案到 9/21 還沒人電聯，違反 24 小時 SOP；併入 R008
R036,Dcard 家電板,匿名,中,—,濾網耗材,—,—,要回,說明,問訂閱制划不划算；依 FAQ 一年 3 片以上才划算
R037,蝦皮,p***1,正,—,其他（說明書建議）,—,—,要回,引導,整體不錯＋說明書字太小，感謝並轉產品部
R038,Google 台中公益,吳**,負,低,門市,—,—,要回,說明,週日 17:00 關門的營業時間建議，屬低
