會員編號,公司名稱,年費,應繳期限,實際狀態（解答用）
M001,宇陽資訊有限公司,6000,2026/08/15,已繳
M002,明峰工業有限公司,36000,2026/07/31,已繳
M003,品逸生技有限公司,6000,2026/08/31,對不上
M004,東辰網路股份有限公司,6000,2026/06/30,短繳
M005,誠展材料股份有限公司,20000,2026/06/30,已繳
M006,品逸材料有限公司,6000,2026/01/15,久未繳
M007,元鴻電子有限公司,20000,2026/08/15,已繳
M008,明峰通訊股份有限公司,36000,2026/09/10,短繳
M009,明峰自動化股份有限公司,6000,2026/06/30,未繳
M010,中鼎科技有限公司,36000,2026/09/10,已繳
M011,高林電子有限公司,20000,2026/07/31,短繳
M012,佳合電子股份有限公司,50000,2026/06/30,重複
M013,晉城工業股份有限公司,20000,2026/06/30,已繳
M014,晉城醫材股份有限公司,6000,2026/08/31,已繳
M015,晉城光電有限公司,20000,2026/08/31,已繳
M016,誠展自動化有限公司,6000,2026/06/30,未繳
M017,中鼎機械有限公司,20000,2026/07/31,對不上
M018,群威工業有限公司,6000,2026/01/15,久未繳
M019,佳合半導體股份有限公司,6000,2026/09/10,短繳
M020,立勤系統有限公司,36000,2026/08/31,短繳
M021,群威資訊股份有限公司,6000,2026/06/30,已繳
M022,元鴻半導體有限公司,20000,2026/09/10,已繳
M023,亞信醫材股份有限公司,6000,2026/06/30,未繳
M024,冠捷系統有限公司,20000,2026/07/31,未繳
M025,世紀生技有限公司,6000,2026/09/10,已繳
M026,瑞光生技有限公司,36000,2026/06/30,短繳
M027,世紀系統有限公司,6000,2026/09/10,重複
M028,立勤工業股份有限公司,6000,2026/02/15,久未繳
M029,明峰網路有限公司,6000,2026/01/15,久未繳
M030,佳合科技有限公司,50000,2026/07/31,已繳
M031,冠捷網路股份有限公司,36000,2026/06/30,未繳
M032,鼎宏通訊有限公司,6000,2026/09/10,已繳
M033,佳合系統有限公司,6000,2026/07/31,已繳
M034,立勤半導體股份有限公司,6000,2026/02/15,久未繳
M035,泰宇科技有限公司,6000,2026/08/31,未繳
M036,宇陽科技有限公司,6000,2026/07/31,未繳
M037,佳合醫材有限公司,36000,2026/09/10,已繳
M038,世紀精密有限公司,6000,2026/06/30,已繳
M039,冠捷半導體有限公司,6000,2026/09/10,已繳
M040,中鼎精密有限公司,6000,2026/08/15,已繳
M041,泰宇系統有限公司,6000,2026/09/10,短繳
M042,遠旭光電有限公司,20000,2026/07/31,未繳
M043,永茂機械有限公司,6000,2026/06/30,已繳
M044,東辰精密股份有限公司,6000,2026/09/10,未繳
M045,中鼎生技有限公司,6000,2026/09/10,對不上
M046,鼎宏光電股份有限公司,6000,2026/07/31,已繳
M047,晉城醫材有限公司,6000,2026/08/15,已繳
M048,品逸光電股份有限公司,6000,2026/06/30,已繳
M049,富崴機械有限公司,6000,2026/09/10,對不上
M050,瑞光通訊有限公司,6000,2026/06/30,已繳
M051,高林網路有限公司,6000,2026/09/10,已繳
M052,宜達網路有限公司,20000,2026/06/30,已繳
M053,允升電子股份有限公司,6000,2026/09/10,已繳
M054,亞信工業股份有限公司,6000,2026/07/31,已繳
M055,鼎宏材料有限公司,6000,2026/08/31,已繳
M056,泰宇材料股份有限公司,36000,2026/09/10,已繳
M057,高林半導體有限公司,6000,2026/08/31,已繳
M058,廣達資訊有限公司,6000,2026/08/15,未繳
M059,永茂通訊有限公司,6000,2026/08/31,未繳
M060,晉城機械股份有限公司,50000,2026/09/10,已繳
M061,宏碩醫材股份有限公司,6000,2026/08/31,已繳
M062,昇華系統有限公司,6000,2026/08/15,重複
M063,晉城自動化股份有限公司,6000,2026/08/15,對不上
M064,亞信生技股份有限公司,6000,2026/07/31,已繳
M065,鼎宏機械有限公司,6000,2026/07/31,已繳
M066,亞信通訊有限公司,6000,2026/07/31,已繳
M067,承邦材料有限公司,6000,2026/06/30,已繳
M068,益盛資訊有限公司,6000,2026/09/10,未繳
M069,佳合機械股份有限公司,20000,2026/08/15,未繳
M070,宇陽網路有限公司,6000,2026/09/10,已繳
M071,冠捷精密股份有限公司,36000,2026/08/31,未繳
M072,瑞光光電股份有限公司,50000,2026/08/15,未繳
M073,立勤通訊有限公司,36000,2026/08/31,已繳
M074,富崴系統有限公司,6000,2026/08/15,已繳
M075,誠展通訊股份有限公司,6000,2026/09/10,短繳
M076,冠捷通訊股份有限公司,50000,2026/06/30,已繳
M077,允升電子有限公司,6000,2026/06/30,已繳
